table_name,ordinal_position,column_name,data_type,is_nullable,column_default
assignment_level,12,is_active,boolean,NO,
assignment_level,13,created_at,timestamp with time zone,NO,
assignment_level,14,updated_at,timestamp with time zone,NO,
assignment_level,15,grading_configuration_id,uuid,YES,
assignment_level,16,assignment_id,uuid,NO,
assignment_level,17,objective,text,NO,
assignment_level,18,skill_statement,text,NO,
assignment_level,19,skill_statement_code,character varying,NO,
assignment_level,20,scenario,text,NO,
auth_group,1,id,integer,NO,
auth_group,2,name,character varying,NO,
auth_group_permissions,1,id,bigint,NO,
auth_group_permissions,2,group_id,integer,NO,
auth_group_permissions,3,permission_id,integer,NO,
auth_permission,1,id,integer,NO,
auth_permission,2,name,character varying,NO,
auth_permission,3,content_type_id,integer,NO,
auth_permission,4,codename,character varying,NO,
auth_user,1,id,integer,NO,
auth_user,2,password,character varying,NO,
auth_user,3,last_login,timestamp with time zone,YES,
auth_user,4,is_superuser,boolean,NO,
auth_user,5,username,character varying,NO,
auth_user,6,first_name,character varying,NO,
auth_user,7,last_name,character varying,NO,
auth_user,8,email,character varying,NO,
auth_user,9,is_staff,boolean,NO,
auth_user,10,is_active,boolean,NO,
auth_user,11,date_joined,timestamp with time zone,NO,
auth_user_groups,1,id,bigint,NO,
auth_user_groups,2,user_id,integer,NO,
auth_user_groups,3,group_id,integer,NO,
auth_user_user_permissions,1,id,bigint,NO,
auth_user_user_permissions,2,user_id,integer,NO,
auth_user_user_permissions,3,permission_id,integer,NO,
cohort,1,id,uuid,NO,
cohort,2,cohort_name,character varying,NO,
cohort,3,cohort_code,character varying,NO,
cohort,4,start_date,date,YES,
cohort,5,end_date,date,YES,
cohort,6,is_active,boolean,NO,
cohort,7,created_at,timestamp with time zone,NO,
cohort,8,updated_at,timestamp with time zone,NO,
cohort,9,module_id,uuid,NO,
criterion_result,1,id,uuid,NO,
criterion_result,2,awarded_marks,numeric,NO,
criterion_result,3,achievement_band,character varying,NO,
criterion_result,4,feedback,text,NO,
criterion_result,5,created_at,timestamp with time zone,NO,
criterion_result,6,submission_id,uuid,YES,
criterion_result,7,rubric_criterion_id,uuid,YES,
django_admin_log,1,id,integer,NO,
django_admin_log,2,action_time,timestamp with time zone,NO,
django_admin_log,3,object_id,text,YES,
django_admin_log,4,object_repr,character varying,NO,
django_admin_log,5,action_flag,smallint,NO,
django_admin_log,6,change_message,text,NO,
django_admin_log,7,content_type_id,integer,YES,
django_admin_log,8,user_id,integer,NO,
django_content_type,1,id,integer,NO,
django_content_type,3,app_label,character varying,NO,
django_content_type,4,model,character varying,NO,
django_migrations,1,id,bigint,NO,
django_migrations,2,app,character varying,NO,
django_migrations,3,name,character varying,NO,
django_migrations,4,applied,timestamp with time zone,NO,
django_session,1,session_key,character varying,NO,
django_session,2,session_data,text,NO,
django_session,3,expire_date,timestamp with time zone,NO,
extracted_evidence,1,id,uuid,NO,
extracted_evidence,2,page_number,integer,YES,
extracted_evidence,3,content_text,text,NO,
extracted_evidence,4,image_url,character varying,NO,
extracted_evidence,5,extraction_confidence,numeric,YES,
extracted_evidence,6,created_at,timestamp with time zone,NO,
extracted_evidence,7,submission_id,uuid,YES,
grading_gradingconfiguration,1,id,uuid,NO,
grading_gradingconfiguration,2,grading_config_code,character varying,NO,
grading_gradingconfiguration,3,grading_config_name,character varying,NO,
grading_gradingconfiguration,4,grading_type,character varying,NO,
grading_gradingconfiguration,5,structural_check_enabled,boolean,NO,
grading_gradingconfiguration,6,automated_testing_enabled,boolean,NO,
grading_gradingconfiguration,7,rag_enabled,boolean,NO,
grading_gradingconfiguration,8,ai_grading_enabled,boolean,NO,
grading_gradingconfiguration,9,manual_review_required,boolean,NO,
grading_gradingconfiguration,10,confidence_review_threshold,numeric,NO,
grading_gradingconfiguration,11,version,integer,NO,
grading_gradingconfiguration,12,configuration,jsonb,NO,
grading_gradingconfiguration,13,is_active,boolean,NO,
grading_gradingconfiguration,14,created_at,timestamp with time zone,NO,
grading_gradingconfiguration,15,updated_at,timestamp with time zone,NO,
learner_submission,1,id,uuid,NO,
learner_submission,2,submission_track,character varying,NO,
learner_submission,3,submitted_file,character varying,NO,
learner_submission,4,original_filename,character varying,NO,
learner_submission,5,attempt_number,integer,NO,
learner_submission,6,status,character varying,NO,
learner_submission,7,final_score,numeric,YES,
learner_submission,8,maximum_score,numeric,YES,
learner_submission,9,achieved_band,character varying,NO,
learner_submission,10,feedback,text,NO,
learner_submission,11,submitted_at,timestamp with time zone,NO,
learner_submission,12,completed_at,timestamp with time zone,YES,
learner_submission,13,assignment_level_id,uuid,NO,
learner_submission,14,learner_id,integer,NO,
learner_submission,15,context_id,uuid,NO,
lms_assessmentmapping,1,id,uuid,NO,
lms_assessmentmapping,2,name,character varying,NO,
lms_assessmentmapping,3,external_platform_id,character varying,NO,
lms_assessmentmapping,4,external_context_id,character varying,NO,
lms_assessmentmapping,5,external_resource_link_id,character varying,NO,
lms_assessmentmapping,6,is_active,boolean,NO,
lms_assessmentmapping,7,created_at,timestamp with time zone,NO,
lms_assessmentmapping,8,updated_at,timestamp with time zone,NO,
lms_assessmentmapping,9,assignment_id,uuid,NO,
lms_assessmentmapping,10,cohort_id,uuid,NO,
lms_assessmentmapping,11,created_by_id,integer,YES,
lms_assessmentmapping,12,updated_by_id,integer,YES,
lms_assessmentmapping,13,lti_client_id,character varying,NO,
lms_assessmentmapping,14,lti_deployment_id,character varying,NO,
lms_assessmentmapping,15,lti_jwks_url,character varying,NO,
lms_assessmentmapping,16,lti_access_token_url,character varying,NO,
lms_assessmentmapping,17,final_mark_weight,numeric,NO,
lms_assessmentmapping,18,due_date,timestamp with time zone,YES,
